scope,count,mean_prefill_ms,mean_computation_tokens,mean_resident_kv_mib,mean_prefill_residual_ms,mean_prefill_cost_per_token,corr_computation_prefill,corr_kv_prefill,corr_kv_residual
all,960,13892.0118,727.6187,106.6638,13770.7420,83.917484,0.357280,0.690187,0.687368
turn=1,96,262.5616,63.5625,0.0000,251.9679,62.478862,0.007779,0.000000,0.000000
turn=2,96,2523.5768,600.4375,19.7383,2423.5039,9.173455,-0.070207,0.039803,-0.027826
turn=3,96,5543.9788,723.0000,40.9580,5423.4788,30.842359,-0.012000,0.036777,-0.009035
turn=4,96,8042.0516,793.8125,65.9561,7909.7495,42.051615,0.224217,0.189409,0.174396
turn=5,96,10789.5016,686.3750,88.9473,10675.1058,68.592375,0.077580,0.129319,0.116517
turn=6,96,15212.1109,804.6250,112.7510,15078.0067,74.132859,-0.001366,-0.019285,-0.034276
turn=7,96,18430.6488,877.3438,140.4551,18284.4248,55.810306,0.128750,0.118128,0.109564
turn=8,96,24237.5276,915.7188,168.3096,24084.9078,153.477740,-0.012362,-0.008503,-0.016523
turn=9,96,24613.2411,871.3125,198.6826,24468.0224,164.644928,0.113355,0.238073,0.233565
turn=10,96,29264.9192,940.0000,230.8398,29108.2525,177.970340,-0.058086,-0.235668,-0.238189
focus_turn=5,96,10789.5016,686.3750,88.9473,10675.1058,68.592375,0.077580,0.129319,0.116517
focus_turn=6,96,15212.1109,804.6250,112.7510,15078.0067,74.132859,-0.001366,-0.019285,-0.034276
focus_turn=7,96,18430.6488,877.3438,140.4551,18284.4248,55.810306,0.128750,0.118128,0.109564
kv_bin=Low KV,321,5835.5911,243.4299,14.3794,5795.0195,110.304569,-0.141560,0.418741,0.415071
kv_bin=Mid KV,321,12604.8109,887.3645,85.8975,12456.9169,43.663421,-0.204871,0.299311,0.296733
kv_bin=High KV,318,23323.7807,1055.1226,220.7810,23147.9269,97.915283,-0.058350,0.328266,0.328020

kv_bin_cutoff_mib,q1=37.1250,q2=138.5938
