exp_label,turn_index,tenant_id,group_label,input_tokens,prefix_hit_tokens,computation_tokens,kv_history_tokens,resident_kv_mib,prefill_ms,baseline_prefill_ms,prefill_residual_ms,prefill_cost_per_token,batch_total_input_tokens,batch_total_computation_tokens,batch_total_resident_kv_mib,batch_group1_resident_kv_mib,batch_group2_resident_kv_mib,batch_estimated_prefill_rounds,peer_mean_resident_kv_mib,peer_mean_computation_tokens,batch_pressure_bin
exp1,1,24,Group2,7.0,0.0,7.0,0.0,0.0,952.9113,1.1666666666666665,951.7446333333334,136.13018571428572,3490.0,2034.0,0.0,0.0,0.0,1,0.0,65.38709677419355,Low
exp1,1,10,Group1,50.0,48.0,2.0,0.0,0.0,986.0967999999999,0.3333333333333333,985.7634666666665,493.04839999999996,3490.0,2034.0,0.0,0.0,0.0,1,0.0,65.54838709677419,Low
exp1,1,2,Group1,840.0,832.0,8.0,0.0,0.0,976.0444,1.3333333333333333,974.7110666666666,122.00555,3490.0,2034.0,0.0,0.0,0.0,1,0.0,65.35483870967742,Low
exp1,1,6,Group1,840.0,0.0,840.0,0.0,0.0,982.6872999999999,140.0,842.6872999999999,1.1698658333333332,3490.0,2034.0,0.0,0.0,0.0,1,0.0,38.516129032258064,Low
exp1,1,7,Group1,50.0,48.0,2.0,0.0,0.0,947.6707999999999,0.3333333333333333,947.3374666666665,473.83539999999994,3490.0,2034.0,0.0,0.0,0.0,1,0.0,65.54838709677419,Low
exp1,1,30,Group2,7.0,0.0,7.0,0.0,0.0,932.4984,1.1666666666666665,931.3317333333333,133.21405714285714,3490.0,2034.0,0.0,0.0,0.0,1,0.0,65.38709677419355,Low
exp1,1,4,Group1,243.0,240.0,3.0,0.0,0.0,1025.3272,0.5,1024.8272,341.77573333333333,3490.0,2034.0,0.0,0.0,0.0,1,0.0,65.51612903225806,Low
exp1,1,17,Group2,6.0,0.0,6.0,0.0,0.0,1032.0906,1.0,1031.0906,172.0151,3490.0,2034.0,0.0,0.0,0.0,1,0.0,65.41935483870968,Low
exp1,1,3,Group1,243.0,0.0,243.0,0.0,0.0,1038.5506,40.5,998.0506,4.273870781893004,3490.0,2034.0,0.0,0.0,0.0,1,0.0,57.774193548387096,Low
exp1,1,11,Group1,50.0,48.0,2.0,0.0,0.0,1008.1569,0.3333333333333333,1007.8235666666666,504.07845,3490.0,2034.0,0.0,0.0,0.0,1,0.0,65.54838709677419,Low
exp1,1,8,Group1,50.0,48.0,2.0,0.0,0.0,1082.8133000000003,0.3333333333333333,1082.479966666667,541.4066500000001,3490.0,2034.0,0.0,0.0,0.0,1,0.0,65.54838709677419,Low
exp1,1,27,Group2,7.0,0.0,7.0,0.0,0.0,970.4798,1.1666666666666665,969.3131333333333,138.6399714285714,3490.0,2034.0,0.0,0.0,0.0,1,0.0,65.38709677419355,Low
exp1,1,1,Group1,636.0,0.0,636.0,0.0,0.0,942.2089,106.0,836.2089,1.4814605345911949,3490.0,2034.0,0.0,0.0,0.0,1,0.0,45.096774193548384,Low
exp1,1,23,Group2,6.0,0.0,6.0,0.0,0.0,1010.5149,1.0,1009.5149,168.41915,3490.0,2034.0,0.0,0.0,0.0,1,0.0,65.41935483870968,Low
