blocking_slice,exp_label,turn_index,filtered_batch_size,batch_total_computation_tokens,batch_compute_ratio_8192,batch_mean_prefill_ms
lt100,exp1,1,16,1911.0000,0.233276,262.3929
lt100,exp1,2,16,22785.0000,2.781372,4438.7330
lt100,exp1,3,12,18334.0000,2.238037,9067.2744
lt100,exp1,4,13,21353.0000,2.606567,14226.2983
lt100,exp1,5,15,21253.0000,2.594360,19176.7095
lt100,exp1,6,12,18974.0000,2.316162,23635.3422
lt100,exp1,7,11,19450.0000,2.374268,29288.9135
lt100,exp1,8,16,24195.0000,2.953491,38108.1518
lt100,exp1,9,13,20716.0000,2.528809,36636.9553
lt100,exp1,10,16,21780.0000,2.658691,45631.7403
lt100,exp2,1,16,1911.0000,0.233276,244.6573
lt100,exp2,2,15,20692.0000,2.525879,4140.0194
lt100,exp2,3,12,18123.0000,2.212280,9162.9329
lt100,exp2,4,14,22092.0000,2.696777,15400.4665
lt100,exp2,5,14,17710.0000,2.161865,18253.2447
lt100,exp2,6,16,23100.0000,2.819824,24606.1960
lt100,exp2,7,14,18167.0000,2.217651,27964.7917
lt100,exp2,8,16,24167.0000,2.950073,34569.1681
lt100,exp2,9,15,19935.0000,2.433472,37215.2213
lt100,exp2,10,12,17745.0000,2.166138,43018.8835
lt100,exp3,1,16,1911.0000,0.233276,252.1871
lt100,exp3,2,16,22766.0000,2.779053,5146.4976
lt100,exp3,3,16,23997.0000,2.929321,10093.9334
lt100,exp3,4,16,23644.0000,2.886230,14552.2637
lt100,exp3,5,13,18498.0000,2.258057,17891.2956
lt100,exp3,6,16,23132.0000,2.823730,27291.4820
lt100,exp3,7,16,22524.0000,2.749512,31797.3998
lt100,exp3,8,13,21891.0000,2.672241,36025.4474
lt100,exp3,9,16,22744.0000,2.776367,43217.6335
lt100,exp3,10,13,19998.0000,2.441162,43074.0196
gt100,exp1,3,4,5684.0000,0.693848,14129.8858
gt100,exp1,4,3,2262.0000,0.276123,18667.4490
gt100,exp1,5,1,607.0000,0.074097,23226.1818
gt100,exp1,6,4,4143.0000,0.505737,34602.2266
gt100,exp1,7,5,3042.0000,0.371338,36686.7861
gt100,exp1,9,3,1975.0000,0.241089,48392.3802
gt100,exp2,2,1,2088.0000,0.254883,5769.3458
gt100,exp2,3,4,5906.0000,0.720947,14030.1671
gt100,exp2,4,2,1520.0000,0.185547,16631.7005
gt100,exp2,5,2,4148.0000,0.506348,26466.5567
gt100,exp2,7,2,4359.0000,0.532104,41216.5355
gt100,exp2,9,1,2279.0000,0.278198,54019.8278
gt100,exp2,10,4,3508.0000,0.428223,58902.7775
gt100,exp3,5,3,3393.0000,0.414185,26165.6653
gt100,exp3,8,3,2307.0000,0.281616,44403.5631
gt100,exp3,10,3,1802.0000,0.219971,53208.2007
